Rk,Player_URL,Player,Pos,Age,Tm_URL,Tm,G,MP,PER,TS_,ThreePAr,FTr,ORB_,DRB_,TRB_,AST_,STL_,BLK_,TOV_,USG_,OWS,DWS,WS,WS_48,OBPM,DBPM,BPM,BPM1,VORP
1,https://www.basketball-reference.com/players/a/acyqu01.html,Quincy Acy,PF,25,https://www.basketball-reference.com/teams/SAC/2016.html,SAC,59,876,14.7,.629,.229,.318,8.1,15.1,11.6,4.4,1.6,2.2,10.0,13.1,1.8,0.7,2.5,.137,-0.2,0.2,-0.1,,0.4
2,https://www.basketball-reference.com/players/a/adamsjo01.html,Jordan Adams,SG,21,https://www.basketball-reference.com/teams/MEM/2016.html,MEM,2,15,17.3,.427,.167,.833,0.0,15.9,7.6,31.9,10.3,0.0,19.6,30.5,0.0,0.0,0.0,.015,-2.5,9.4,6.9,6.9,0.0
3,https://www.basketball-reference.com/players/a/adamsst01.html,Steven Adams,C,22,https://www.basketball-reference.com/teams/OKC/2016.html,OKC,80,2014,15.5,.621,.000,.460,12.5,16.1,14.4,4.3,1.0,3.3,14.1,12.6,4.2,2.3,6.5,.155,0.0,0.2,0.2,,1.1
4,https://www.basketball-reference.com/players/a/afflaar01.html,Arron Afflalo,SG,30,https://www.basketball-reference.com/teams/NYK/2016.html,NYK,71,2371,10.9,.531,.298,.164,1.1,11.0,6.1,9.9,0.5,0.3,8.7,17.9,1.8,0.9,2.7,.055,-1.3,-1.6,-2.9,,-0.5
5,https://www.basketball-reference.com/players/a/ajincal01.html,Alexis Ajinça,C,27,https://www.basketball-reference.com/teams/NOP/2016.html,NOP,59,861,13.8,.514,.003,.197,9.3,25.9,17.3,5.8,1.1,3.4,13.6,20.4,0.2,0.9,1.0,.058,-3.4,-0.6,-4.0,,-0.4
6,https://www.basketball-reference.com/players/a/aldrico01.html,Cole Aldrich,C,27,https://www.basketball-reference.com/teams/LAC/2016.html,LAC,60,800,21.3,.626,.000,.373,11.9,27.1,19.6,10.0,2.9,6.7,19.6,18.4,1.4,2.0,3.5,.209,-0.9,3.4,2.4,,0.9
7,https://www.basketball-reference.com/players/a/aldrila01.html,LaMarcus Aldridge,PF,30,https://www.basketball-reference.com/teams/SAS/2016.html,SAS,74,2261,22.4,.565,.015,.289,9.2,22.2,15.9,8.1,0.9,2.8,7.8,25.9,5.6,4.5,10.1,.215,2.0,0.3,2.3,,2.5
8,https://www.basketball-reference.com/players/a/alexacl01.html,Cliff Alexander,PF,20,https://www.basketball-reference.com/teams/POR/2016.html,POR,8,36,11.6,.500,.000,.000,6.0,12.1,9.0,0.0,1.4,4.4,9.1,13.3,0.0,0.0,0.0,.052,-0.5,0.5,0.0,0.0,0.0
9,https://www.basketball-reference.com/players/a/allenla01.html,Lavoy Allen,PF,26,https://www.basketball-reference.com/teams/IND/2016.html,IND,79,1599,12.4,.532,.000,.197,11.1,17.8,14.5,7.1,0.8,2.1,14.6,13.0,1.6,2.1,3.7,.110,-1.7,0.1,-1.6,,0.2
10,https://www.basketball-reference.com/players/a/allento01.html,Tony Allen,SG,34,https://www.basketball-reference.com/teams/MEM/2016.html,MEM,64,1620,12.9,.505,.090,.294,7.0,14.1,10.4,6.9,3.5,1.0,12.8,16.8,0.5,1.9,2.4,.072,-2.2,1.2,-1.0,,0.4
