Field,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,sortcell,Field12,Field13,Field14,Field15
Hollinger Stats - Player Efficiency Rating - All Players,,,,,,,,,,,,,,,,
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
1,"LeBron James, MIA",62,37.5,.605,19.4,10.7,29.8,5.0,19.7,12.6,30.80,30.80,704.8,23.5,http://insider.espn.go.com/nba/players/hollinger?playerId=1966,LeBron James
2,"Kyrylo Fesenko, IND",3,5.7,.524,11.6,0.0,18.8,13.3,46.0,29.8,29.81,29.81,4.9,0.2,http://insider.espn.go.com/nba/players/hollinger?playerId=3205,Kyrylo Fesenko
3,"Chris Paul, LAC",60,36.4,.581,32.1,7.3,24.9,2.3,9.4,5.8,27.09,27.09,523.7,17.5,http://insider.espn.go.com/nba/players/hollinger?playerId=2779,Chris Paul
4,"Dwyane Wade, MIA",49,33.2,.559,17.0,9.8,28.9,5.6,11.6,8.7,26.37,26.37,385.0,12.8,http://insider.espn.go.com/nba/players/hollinger?playerId=1987,Dwyane Wade
5,"Kevin Durant, OKC",66,38.6,.610,11.6,12.4,28.4,1.9,20.4,11.8,26.26,26.26,598.9,20.0,http://insider.espn.go.com/nba/players/hollinger?playerId=3202,Kevin Durant
6,"Kevin Love, MIN",55,39.0,.568,7.4,8.5,26.0,11.6,26.4,19.0,25.41,25.41,445.4,14.8,http://insider.espn.go.com/nba/players/hollinger?playerId=3449,Kevin Love
7,"Dwight Howard, ORL",54,38.3,.569,8.3,13.9,23.6,11.0,33.1,21.9,24.29,24.29,423.0,14.1,http://insider.espn.go.com/nba/players/hollinger?playerId=2384,Dwight Howard
8,"Manu Ginobili, SA",34,23.3,.668,27.7,11.8,22.1,2.7,13.9,8.4,24.18,24.18,161.7,5.4,http://insider.espn.go.com/nba/players/hollinger?playerId=272,Manu Ginobili
9,"Blake Griffin, LAC",66,36.2,.557,13.2,9.4,24.7,10.7,25.1,17.8,23.50,23.50,428.3,14.3,http://insider.espn.go.com/nba/players/hollinger?playerId=3989,Blake Griffin
10,"Derrick Rose, CHI",39,35.3,.532,25.0,9.7,30.4,2.2,8.4,5.3,23.10,23.10,248.4,8.3,http://insider.espn.go.com/nba/players/hollinger?playerId=3456,Derrick Rose
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
11,"Russell Westbrook, OKC",66,35.3,.538,17.7,11.7,30.4,5.0,9.4,7.4,23.00,23.00,417.6,13.9,http://insider.espn.go.com/nba/players/hollinger?playerId=3468,Russell Westbrook
,"Andrew Bynum, LAL",60,35.2,.594,7.2,12.9,21.5,10.6,26.1,18.7,23.00,23.00,390.9,13.0,http://insider.espn.go.com/nba/players/hollinger?playerId=2748,Andrew Bynum
13,"Al Jefferson, UTAH",61,34.0,.520,10.1,4.7,23.7,7.3,25.3,16.2,22.88,22.88,380.3,12.7,http://insider.espn.go.com/nba/players/hollinger?playerId=2389,Al Jefferson
14,"LaMarcus Aldridge, POR",55,36.3,.560,10.2,8.5,24.5,8.6,17.5,12.9,22.73,22.73,334.2,11.1,http://insider.espn.go.com/nba/players/hollinger?playerId=2983,LaMarcus Aldridge
15,"Tim Duncan, SA",58,28.2,.531,12.3,9.1,23.7,7.9,28.2,18.3,22.60,22.60,292.6,9.8,http://insider.espn.go.com/nba/players/hollinger?playerId=215,Tim Duncan
16,"Greg Monroe, DET",66,31.5,.563,12.5,13.3,21.8,13.3,23.6,18.3,22.09,22.09,357.1,11.9,http://insider.espn.go.com/nba/players/hollinger?playerId=4260,Greg Monroe
17,"Tony Parker, SA",60,32.1,.539,28.4,9.4,27.1,1.3,8.7,5.1,22.04,22.04,317.0,10.6,http://insider.espn.go.com/nba/players/hollinger?playerId=1015,Tony Parker
