Birthday,Player,Team
January 1 1993,Larry Nance Jr.,Cleveland
January 3 1992,Doug McDermott,Indiana
January 3 1995,Rondae Hollis-Jefferson,Toronto
January 4 1997,Ante Žižić,Cleveland
January 4 1999,Collin Sexton,Cleveland
January 6 1991,Will Barton,Denver
January 6 1993,Pat Connaughton,Milwalkue
January 8 1994,Glenn Robinson III,Philidelphia
January 8 1998,Tony Bradley,Utah
January 8 1999,Ignas Brazdeikis,New York
January 9 2000,Luka Šamanić,Spurs
January 10 1998,Tremont Waters ,Boston
January 11 1993,Chris Boucher,Toronto
January 15 1993,Kadeem Allen ,New York
January 17 1996,Allonzo Trier,New York
January 18 1990,Gorgui Dieng,Memphis
January 18 1999,Gary Trent Jr.,Portland 
January 19 1988,JaVale McGee,Los Angeles Lakers
January 20 2000,Tyler Herro,Miami
January 22 1996,Dillon Brooks,Memphis
January 23 1996,Keita Bates-Diop,Denver
January 24 1997,Justin James,Scramento
January 26 1977,Vince Carter,Atlanta
January 26 1991,Nicolò Melli,New Orleans
January 26 1994,Montrezl Harrell,Los Angeles Clippers
January 26 2000,Darius Garland,Cleveland
January 28 1984,Andre Iguodala,Miami
January 29 1985,Marc Gasol,Toronto
January 29 1992,Maxi Kleber,Dallas
January 31 1994,Deonte Burton,Oklahoma Thunder
January 31 1997,Donte DiVincenzo,Milwalkue
January 31 1998,Jalen McDaniels,Charlotte
February 1 1997,Drew Eubanks  ,Spurs
February 2 1994,Antonius Cleveland ,Dallas
February 2 1997,Charlie Brown ,Atlanta
February 10 1985,Paul Millsap,Denver
February 10 1995,Sterling Brown,Milwalkue
February 10 1995,Bobby Portis,New York
February 10 1997,Josh Jackson,Memphis
February 11 1993,Ben McLemore,Houston
February 11 2000,Nassir Little,Portland 
February 15 1997,Derrick Jones Jr.,Miami
February 16 2000,Coby White,Chicago
February 18 1993,Kentavious Caldwell-Pope,Los Angeles Lakers
February 19 1995,Nikola Jokić,Denver
February 19 1996,D.J. Wilson,Milwalkue
February 20 1987,James Johnson,Minnesota
February 20 1999,Jarrett Culver,Minnesota
February 22 1986,Rajon Rondo,Los Angeles Lakers
February 22 1994,Elfrid Payton,New York
February 22 1995,Devonte’ Graham,Charlotte
February 22 1997,Jerome Robinson,Washington
