PLAYER,POS,LANE_AGILITY_TIME_SECONDS,SHUTTLE_RUN_SECONDS,THREE_QUARTER_SPRINT_SECONDS,STANDING_VERTICAL_LEAP_INCHES,MAX_VERTICAL_LEAP_INCHES
Pat Connaughton,SG,10.58,3.08,3.20,37.5,44.0
Justin Anderson,SF-SG,11.13,2.88,3.22,38.0,43.0
Keifer Sykes,PG,10.47,3.15,3.13,34.0,43.0
Marcus Thornton,PG-SG,10.78,2.88,3.02,34.5,43.0
Ryan Boatright,PG,10.71,3.05,3.26,32.0,41.0
Norman Powell,SG,10.69,3.20,3.20,32.5,40.5
J.P. Tokoto,SF-SG,10.97,3.20,3.27,34.5,40.0
Michael Qualls,SG-SF,11.88,-,3.18,34.0,39.5
Chasson Randle,PG,10.63,2.81,3.20,33.5,39.5
Dez Wells,SG,10.56,3.05,3.20,31.5,39.0
Rondae Hollis-Jefferson,SF,10.41,3.19,3.12,32.0,38.0
Terry Rozier,PG-SG,10.84,2.84,3.15,33.0,38.0
Vince Hunter,PF,11.19,3.06,3.26,33.5,37.5
Jordan Mickey,PF,11.72,3.13,3.28,33.0,37.5
Larry Nance,PF,10.93,3.01,3.25,29.0,37.5
Kelly Oubre,SF-SG,11.09,3.12,3.32,34.5,37.0
Chris Walker,PF,11.25,3.41,3.35,30.5,37.0
Richaun Holmes,PF,11.24,3.31,3.32,32.5,36.0
Brandon Ashley,PF,11.21,3.35,3.58,31.5,35.5
Cameron Payne,PG,10.90,2.93,3.28,29.8,35.5
Michael Frazier II,SG,10.66,3.02,3.32,27.0,35.0
Jarell Martin,PF,11.20,2.97,3.27,28.5,35.0
Devin Booker,SG,10.27,2.75,3.28,27.5,34.5
Anthony Brown,SF-SG,10.94,3.29,3.18,27.5,34.5
Branden Dawson,PF,12.22,3.53,3.20,28.5,34.5
Sam Dekker,SF,10.64,2.96,3.28,25.5,34.5
Aaron Harrison,SG,-,-,3.27,28.5,34.5
Olivier Hanlan,PG-SG,11.41,3.12,3.25,28.0,34.0
Corey Hawkins,SG-PG,10.81,-,3.51,28.5,34.0
Rashad Vaughn,SG,11.40,3.10,3.21,28.0,34.0
R.J. Hunter,SG,10.87,2.91,3.26,27.5,33.5
Andrew Harrison,PG,11.20,-,3.34,26.5,33.0
Tyus Jones,PG,11.84,2.95,3.32,26.5,32.5
Rakeem Christmas,PF-C,11.60,3.30,3.47,29.0,32.0
Treveon Graham,SF,11.64,3.15,3.30,28.5,31.5
TJ McConnell,PG,10.95,3.09,3.30,26.0,31.5
Bobby Portis,PF,11.78,3.28,3.56,25.0,31.5
Quinn Cook,PG,11.44,3.41,3.38,24.5,31.0
Jonathan Holmes,PF-SF,10.95,3.12,3.51,25.5,31.0
Terran Petteway,SG,10.91,3.10,3.32,25.0,31.0
Delon Wright,PG,11.16,3.50,3.29,29.5,31.0
Tyler Harvey,SG,10.56,2.93,3.44,26.0,28.5
Alan Williams,PF,12.26,3.54,3.50,25.5,28.5
Dakari Johnson,C,11.76,2.94,3.62,22.5,25.0
Cliff Alexander,PF-C,-,-,-,-,-
Willie Cauley-Stein,C,-,-,-,-,-
Jerian Grant,PG,-,-,-,-,-
Montrezl Harrell,PF,-,-,-,-,-
Stanley Johnson,SF,-,-,-,-,-
Frank Kaminsky,C-PF,-,-,-,-,-
Kevon Looney,PF,-,-,-,-,-
Trey Lyles,PF,-,-,-,-,-
Chris McCullough,PF,-,-,-,-,-
D?Angelo Russell,PG-SG,-,-,-,-,-
Myles Turner,C-PF,-,-,-,-,-
Robert Upshaw,C,-,-,-,-,-
Justise Winslow,SF,-,-,-,-,-
Christian Wood,PF,-,-,-,-,-
