PLAYER,POS,BODY_FAT,HAND_LENGTH_INCHES,HAND_WIDTH_INCHES,HEIGHT_WITHOUT_SHOES,HEIGHT,STANDING_REACH,WEIGHT_LBS,WINGSPAN
Andre Drummond,C,7.50%,9.50,9.50,6' 9.75'',6' 11.75'',9' 1.5'',278.6,7' 6.25''
Festus Ezeli,C-PF,5.50%,9.00,10.75,6' 9.75'',6' 11.5'',9' 0'',264.2,7' 5.75''
Anthony Davis,PF-C,7.90%,9.00,8.50,6' 9.25'',6' 10.5'',9' 0'',221.8,7' 5.5''
John Henson,PF,8.60%,9.25,10.00,6' 9'',6' 10.5'',9' 4'',216.0,7' 5''
Kyle O'Quinn,PF,8.00%,9.50,10.00,6' 8.5'',6' 10'',8' 10.5'',240.8,7' 4.75''
Andrew Nicholson,PF,7.60%,10.00,10.75,6' 8.5'',6' 9.5'',8' 11'',234.0,7' 4''
Henry Sims,C-PF,7.70%,9.25,10.00,6' 10'',6' 11.75'',9' 0'',241.2,7' 4''
Thomas Robinson,PF,5.00%,9.75,10.50,6' 7.75'',6' 8.75'',8' 10'',244.2,7' 3.25''
Bernard James,PF,5.00%,9.00,9.25,6' 8.75'',6' 10'',9' 0.5'',229.8,7' 3''
Meyers Leonard,C,5.70%,9.25,11.00,6' 11.75'',7' 1.25'',9' 0'',249.8,7' 3''
Quincy Acy,PF,7.10%,9.50,11.00,6' 6.5'',6' 7.75'',8' 10.5'',223.8,7' 2.75''
Fab Melo,C,9.20%,9.00,10.00,6' 10.75'',7' 0'',9' 2'',255.0,7' 2.5''
JaMychal Green,PF,9.80%,9.25,9.25,6' 8'',6' 9'',8' 10.5'',217.4,7' 2.25''
Terrence Jones,PF-SF,7.70%,9.00,10.00,6' 8.25'',6' 9.5'',8' 11'',252.0,7' 2.25''
Arnett Moultrie,PF,7.70%,9.25,9.25,6' 9.5'',6' 10.75'',8' 10.5'',232.8,7' 2.25''
