center,left,left_URL,left1,left_URL2,left3,left_URL4,left5,right,right6,right7,right8,right9,right10,right11,right12,right13
1,Jahlil Okafor (college),https://www.basketball-reference.com/players/o/okafoja01.html,Jahlil Okafor,https://www.sports-reference.com/cbb/players/jahlil-okafor-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=duke,Duke,2016,2020,6.6,3,1,1,1,1,6
2,Emmanuel Mudiay,https://www.basketball-reference.com/players/m/mudiaem01.html,Emmanuel Mudiay,,,,,2016,2020,-0.2,4,5,2,2,5,1
3,Stanley Johnson (college),https://www.basketball-reference.com/players/j/johnsst04.html,Stanley Johnson,https://www.sports-reference.com/cbb/players/stanley-johnson-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=arizona,Arizona,2016,2020,3.4,2,7,3,3,3,5
4,Cliff Alexander (college),https://www.basketball-reference.com/players/a/alexacl01.html,Cliff Alexander,https://www.sports-reference.com/cbb/players/cliff-alexander-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=kansas,Kansas,2016,2016,0.0,1,3,6,4,9,4
5,Karl-Anthony Towns (college),https://www.basketball-reference.com/players/t/townska01.html,Karl-Anthony Towns,https://www.sports-reference.com/cbb/players/karl-anthony-towns-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=kentucky,Kentucky,2016,2020,50.4,12,9,4,5,2,2
6,Myles Turner (college),https://www.basketball-reference.com/players/t/turnemy01.html,Myles Turner,https://www.sports-reference.com/cbb/players/myles-turner-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=texas,Texas,2016,2020,26.4,5,2,5,9,7,7
7,Tyus Jones (college),https://www.basketball-reference.com/players/j/jonesty01.html,Tyus Jones,https://www.sports-reference.com/cbb/players/tyus-jones-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=duke,Duke,2016,2020,11.4,6,4,9,7,8,8
8,Kelly Oubre (college),https://www.basketball-reference.com/players/o/oubreke01.html,Kelly Oubre,https://www.sports-reference.com/cbb/players/kelly-oubre-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=kansas,Kansas,2016,2020,12.1,10,11,7,6,6,3
9,Justin Jackson (college),https://www.basketball-reference.com/players/j/jacksju01.html,Justin Jackson,https://www.sports-reference.com/cbb/players/justin-jackson-4.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=unc,UNC,2018,2020,5.0,7,8,10,11,11,9
10,Rashad Vaughn (college),https://www.basketball-reference.com/players/v/vaughra01.html,Rashad Vaughn,https://www.sports-reference.com/cbb/players/rashad-vaughn-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=unlv,UNLV,2016,2018,-0.6,8,19,8,8,4,13
11,Kevon Looney (college),https://www.basketball-reference.com/players/l/looneke01.html,Kevon Looney,https://www.sports-reference.com/cbb/players/kevon-looney-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=ucla,UCLA,2016,2020,10.3,11,12,15,10,12,11
12,Trey Lyles (college),https://www.basketball-reference.com/players/l/lylestr01.html,Trey Lyles,https://www.sports-reference.com/cbb/players/trey-lyles-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=kentucky,Kentucky,2016,2020,10.3,15,6,11,13,13,17
13,Justise Winslow (college),https://www.basketball-reference.com/players/w/winslju01.html,Justise Winslow,https://www.sports-reference.com/cbb/players/justise-winslow-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=duke,Duke,2016,2020,7.7,9,15,12,12,15,15
14,Isaiah Whitehead (college),https://www.basketball-reference.com/players/w/whiteis01.html,Isaiah Whitehead,https://www.sports-reference.com/cbb/players/isaiah-whitehead-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=setonhall,Seton Hall,2017,2018,-0.9,16,14,14,16,16,10
15,Theo Pinson (college),https://www.basketball-reference.com/players/p/pinsoth01.html,Theo Pinson,https://www.sports-reference.com/cbb/players/theo-pinson-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=unc,UNC,2019,2020,-0.6,20,10,19,17,14,14
16,D'Angelo Russell (college),https://www.basketball-reference.com/players/r/russeda01.html,D'Angelo Russell,https://www.sports-reference.com/cbb/players/dangelo-russell-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=ohiost,Ohio State,2016,2020,8.4,23,13,13,18,20,30
17,Daniel Hamilton (college),https://www.basketball-reference.com/players/h/hamilda02.html,Daniel Hamilton,https://www.sports-reference.com/cbb/players/daniel-hamilton-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=uconn,UConn,2018,2019,0.0,17,30,21,14,18,18
18,Tyler Ulis (college),https://www.basketball-reference.com/players/u/ulisty01.html,Tyler Ulis,https://www.sports-reference.com/cbb/players/tyler-ulis-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=kentucky,Kentucky,2017,2019,0.5,21,25,20,21,19,20
19,Chris McCollough (college),https://www.basketball-reference.com/players/m/mcculch01.html,Chris McCollough,https://www.sports-reference.com/cbb/players/chris-mccullough-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=syracuse,Syracuse,2016,2018,0.6,14,24,18,19,21,32
RSCI,,,,,,,,,,,,,,,,
20,James Blackmon (college),https://www.basketball-reference.com/players/b/blackja02.html,James Blackmon,https://www.sports-reference.com/cbb/players/james-blackmon-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=indiana,Indiana,,,,19,20,33,22,26,12
T20,Devin Robinson (college),https://www.basketball-reference.com/players/r/robinde01.html,Devin Robinson,https://www.sports-reference.com/cbb/players/devin-robinson-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=florida,Florida,2018,2019,0.4,32,23,16,20,17,24
22,Dwayne Morgan (college),https://www.sports-reference.com/cbb/players/dwayne-morgan-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=unlv,UNLV,,,,18,39,26,15,23,25
23,Devin Booker (college),https://www.basketball-reference.com/players/b/bookede01.html,Devin Booker,https://www.sports-reference.com/cbb/players/devin-booker-2.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=kentucky,Kentucky,2016,2020,17.3,25,18,29,29,35,22
24,Grayson Allen (college),https://www.basketball-reference.com/players/a/allengr01.html,Grayson Allen,https://www.sports-reference.com/cbb/players/grayson-allen-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=duke,Duke,2019,2020,1.2,24,21,22,28,25,39
25,Shaqquan Aaron (college),https://www.sports-reference.com/cbb/players/shaqquan-aaron-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=usc,USC,,,,35,33,27,30,22,21
T25,Joel Berry (college),https://www.basketball-reference.com/players/b/berryjo01.html,Joel Berry,https://www.sports-reference.com/cbb/players/joel-berry-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=unc,UNC,,,,13,17,34,27,27,50
27,Kameron Chatman (college),https://www.sports-reference.com/cbb/players/kameron-chatman-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=michigan,Michigan,,,,37,38,23,25,24,28
28,Isaac Copeland (college),https://www.sports-reference.com/cbb/players/isaac-copeland-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=georgetown,Georgetown,,,,44,16,38,23,31,29
29,Keita Bates-Diop (college),https://www.basketball-reference.com/players/b/bateske01.html,Keita Bates-Diop,https://www.sports-reference.com/cbb/players/keita-bates-diop-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=ohiost,Ohio State,2019,2020,1.5,30,22,24,26,37,51
